Time,X,Y,Heading,CameraX,CameraY,CameraZ,CameraAngX,CameraAngY,CameraAngZ,GoalX,GoalY,DistanceToGoal
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.76, 0.54, 2.879861
0.01111111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.76, 0.54, 2.879861
0.02222222, -2.282133, 2.802361, 129.0802, -2.282133, 1.531584, 2.802361, 1.848341, 129.0802, 357.6622, 2.76, 0.54, 5.582925
0.03333334, -2.282133, 2.802361, 129.0802, -2.282133, 1.531584, 2.802361, 1.848341, 129.0802, 357.6622, 2.76, 0.54, 5.582925
0.04444445, -2.282133, 2.802361, 129.0802, -2.282133, 1.531584, 2.802361, 1.848341, 129.0802, 357.6622, 2.76, 0.54, 5.582925
0.05555556, -2.282133, 2.802361, 129.0802, -2.282133, 1.531584, 2.802361, 1.848341, 129.0802, 357.6622, 2.76, 0.54, 5.582925
0.06666667, -2.282133, 2.802361, 129.0802, -2.282133, 1.531584, 2.802361, 1.848341, 129.0802, 357.6622, 2.76, 0.54, 5.582925
0.07777778, -2.282133, 2.802361, 129.0802, -2.282133, 1.531584, 2.802361, 1.848341, 129.0802, 357.6622, 2.76, 0.54, 5.582925
0.08888889, -2.282133, 2.802361, 129.0802, -2.282133, 1.531584, 2.802361, 1.848341, 129.0802, 357.6622, 2.76, 0.54, 5.582925
0.1, -2.282133, 2.802361, 129.0802, -2.282133, 1.531584, 2.802361, 1.848341, 129.0802, 357.6622, 2.76, 0.54, 5.582925
0.1111111, -2.282133, 2.802361, 129.0802, -2.282133, 1.531584, 2.802361, 1.848341, 129.0802, 357.6622, 2.76, 0.54, 5.582925
0.1222222, -2.282133, 2.802361, 129.0802, -2.282133, 1.531584, 2.802361, 1.848341, 129.0802, 357.6622, 2.76, 0.54, 5.582925
0.1333333, -2.282133, 2.802361, 129.0802, -2.282133, 1.531584, 2.802361, 1.848341, 129.0802, 357.6622, 2.76, 0.54, 5.582925
0.1444445, -2.282133, 2.802361, 129.0802, -2.282133, 1.531584, 2.802361, 1.848341, 129.0802, 357.6622, 2.76, 0.54, 5.582925
0.1555556, -2.282133, 2.802361, 129.0802, -2.282133, 1.531584, 2.802361, 1.848341, 129.0802, 357.6622, 2.76, 0.54, 5.582925
0.1666667, -2.282133, 2.802361, 129.0802, -2.282133, 1.531584, 2.802361, 1.848341, 129.0802, 357.6622, 2.76, 0.54, 5.582925
0.1777778, -2.282133, 2.802361, 129.0802, -2.282133, 1.531584, 2.802361, 1.848341, 129.0802, 357.6622, 2.76, 0.54, 5.582925
0.1888889, -2.282133, 2.802361, 129.0802, -2.282133, 1.531584, 2.802361, 1.848341, 129.0802, 357.6622, 2.76, 0.54, 5.582925
0.2, -2.282133, 2.802361, 129.0802, -2.282133, 1.531584, 2.802361, 1.848341, 129.0802, 357.6622, 2.76, 0.54, 5.582925
0.2111111, -2.282133, 2.802361, 129.0802, -2.282133, 1.531584, 2.802361, 1.848341, 129.0802, 357.6622, 2.76, 0.54, 5.582925
0.2222222, -2.282133, 2.802361, 129.0802, -2.282133, 1.531584, 2.802361, 1.848341, 129.0802, 357.6622, 2.76, 0.54, 5.582925
0.2333333, -2.282133, 2.802361, 129.0802, -2.282133, 1.531584, 2.802361, 1.848341, 129.0802, 357.6622, 2.76, 0.54, 5.582925
0.2444444, -2.282133, 2.802361, 129.0802, -2.282133, 1.531584, 2.802361, 1.848341, 129.0802, 357.6622, 2.76, 0.54, 5.582925
0.2555556, -2.282133, 2.802361, 129.0802, -2.282133, 1.531584, 2.802361, 1.848341, 129.0802, 357.6622, 2.76, 0.54, 5.582925
0.2666667, -2.282133, 2.802361, 129.0802, -2.282133, 1.531584, 2.802361, 1.848341, 129.0802, 357.6622, 2.76, 0.54, 5.582925
0.2777778, -2.282133, 2.802361, 129.0802, -2.282133, 1.531584, 2.802361, 1.848341, 129.0802, 357.6622, 2.76, 0.54, 5.582925
0.2888889, -2.282133, 2.802361, 129.0802, -2.282133, 1.531584, 2.802361, 1.848341, 129.0802, 357.6622, 2.76, 0.54, 5.582925
