Time,X,Y,Heading,CameraX,CameraY,CameraZ,CameraAngX,CameraAngY,CameraAngZ,GoalX,GoalY,DistanceToGoal
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.76, 0.54, 2.879861
0.01111111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.76, 0.54, 2.879861
0.02222222, -3.714692, 3.499962, 107.2817, -3.714692, 1.515251, 3.499962, 7.455352, 107.2817, 1.897731, 2.76, 0.54, 7.153107
0.03333334, -3.714692, 3.499962, 107.2817, -3.714692, 1.515251, 3.499962, 7.455352, 107.2817, 1.897731, 2.76, 0.54, 7.153107
0.04444445, -3.714692, 3.499962, 107.2817, -3.714692, 1.515251, 3.499962, 7.455352, 107.2817, 1.897731, 2.76, 0.54, 7.153107
0.05555556, -3.714692, 3.499962, 107.2817, -3.714692, 1.515251, 3.499962, 7.455352, 107.2817, 1.897731, 2.76, 0.54, 7.153107
0.06666667, -3.714692, 3.499962, 107.2817, -3.714692, 1.515251, 3.499962, 7.455352, 107.2817, 1.897731, 2.76, 0.54, 7.153107
0.07777778, -3.714692, 3.499962, 107.2817, -3.714692, 1.515251, 3.499962, 7.455352, 107.2817, 1.897731, 2.76, 0.54, 7.153107
0.08888889, -3.714692, 3.499962, 107.2817, -3.714692, 1.515251, 3.499962, 7.455352, 107.2817, 1.897731, 2.76, 0.54, 7.153107
0.1, -3.714692, 3.499962, 107.2817, -3.714692, 1.515251, 3.499962, 7.455352, 107.2817, 1.897731, 2.76, 0.54, 7.153107
0.1111111, -3.714692, 3.499962, 107.2817, -3.714692, 1.515251, 3.499962, 7.455352, 107.2817, 1.897731, 2.76, 0.54, 7.153107
0.1222222, -3.714692, 3.499962, 107.2817, -3.714692, 1.515251, 3.499962, 7.455352, 107.2817, 1.897731, 2.76, 0.54, 7.153107
0.1333333, -3.714692, 3.499962, 107.2817, -3.714692, 1.515251, 3.499962, 7.455352, 107.2817, 1.897731, 2.76, 0.54, 7.153107
0.1444445, -3.714692, 3.499962, 107.2817, -3.714692, 1.515251, 3.499962, 7.455352, 107.2817, 1.897731, 2.76, 0.54, 7.153107
0.1555556, -3.714692, 3.499962, 107.2817, -3.714692, 1.515251, 3.499962, 7.455352, 107.2817, 1.897731, 2.76, 0.54, 7.153107
0.1666667, -3.714692, 3.499962, 107.2817, -3.714692, 1.515251, 3.499962, 7.455352, 107.2817, 1.897731, 2.76, 0.54, 7.153107
0.1777778, -3.714692, 3.499962, 107.2817, -3.714692, 1.515251, 3.499962, 7.455352, 107.2817, 1.897731, 2.76, 0.54, 7.153107
0.1888889, -3.714692, 3.499962, 107.2817, -3.714692, 1.515251, 3.499962, 7.455352, 107.2817, 1.897731, 2.76, 0.54, 7.153107
0.2, -3.714692, 3.499962, 107.2817, -3.714692, 1.515251, 3.499962, 7.455352, 107.2817, 1.897731, 2.76, 0.54, 7.153107
0.2111111, -3.714692, 3.499962, 107.2817, -3.714692, 1.515251, 3.499962, 7.455352, 107.2817, 1.897731, 2.76, 0.54, 7.153107
0.2222222, -3.714692, 3.499962, 107.2817, -3.714692, 1.515251, 3.499962, 7.455352, 107.2817, 1.897731, 2.76, 0.54, 7.153107
0.2333333, -3.714692, 3.499962, 107.2817, -3.714692, 1.515251, 3.499962, 7.455352, 107.2817, 1.897731, 2.76, 0.54, 7.153107
0.2444444, -3.714692, 3.499962, 107.2817, -3.714692, 1.515251, 3.499962, 7.455352, 107.2817, 1.897731, 2.76, 0.54, 7.153107
0.2555556, -3.714692, 3.499962, 107.2817, -3.714692, 1.515251, 3.499962, 7.455352, 107.2817, 1.897731, 2.76, 0.54, 7.153107
0.2666667, -3.714692, 3.499962, 107.2817, -3.714692, 1.515251, 3.499962, 7.455352, 107.2817, 1.897731, 2.76, 0.54, 7.153107
0.2777778, -3.714692, 3.499962, 107.2817, -3.714692, 1.515251, 3.499962, 7.455352, 107.2817, 1.897731, 2.76, 0.54, 7.153107
0.2888889, -3.714692, 3.499962, 107.2817, -3.714692, 1.515251, 3.499962, 7.455352, 107.2817, 1.897731, 2.76, 0.54, 7.153107
