Time,X,Y,Heading,CameraX,CameraY,CameraZ,CameraAngX,CameraAngY,CameraAngZ,GoalX,GoalY,DistanceToGoal
0, 0, 0, 0, 0, 1.22, 0, 0, 0, 0, 3.05, 0.54, 4.632634
0.01111111, 0, 0, 0, 0, 1.196667, 0, 0, 0, 0, 3.05, 0.54, 4.629267
0.02222222, -8.554091, -5.940668, 42.22973, -8.554091, 1.275036, -5.940668, 4.936232, 42.22973, 358.4929, 3.05, 0.54, 11.89744
0.03333334, -8.554091, -5.940668, 42.22973, -8.554091, 1.275036, -5.940668, 4.936232, 42.22973, 358.4929, 3.05, 0.54, 11.89744
0.04444445, -8.554091, -5.940668, 42.22973, -8.554091, 1.275036, -5.940668, 4.936232, 42.22973, 358.4929, 3.05, 0.54, 11.89744
0.05555556, -8.554091, -5.940668, 42.22973, -8.554091, 1.275036, -5.940668, 4.936232, 42.22973, 358.4929, 3.05, 0.54, 11.89744
0.06666667, -8.554091, -5.940668, 42.22973, -8.554091, 1.275036, -5.940668, 4.936232, 42.22973, 358.4929, 3.05, 0.54, 11.89744
0.07777778, -8.554091, -5.940668, 42.22973, -8.554091, 1.275036, -5.940668, 4.936232, 42.22973, 358.4929, 3.05, 0.54, 11.89744
0.08888889, -8.554091, -5.940668, 42.22973, -8.554091, 1.275036, -5.940668, 4.936232, 42.22973, 358.4929, 3.05, 0.54, 11.89744
0.1, -8.554091, -5.940668, 42.22973, -8.554091, 1.275036, -5.940668, 4.936232, 42.22973, 358.4929, 3.05, 0.54, 11.89744
0.1111111, -8.554091, -5.940668, 42.22973, -8.554091, 1.275036, -5.940668, 4.936232, 42.22973, 358.4929, 3.05, 0.54, 11.89744
0.1222222, -8.554091, -5.940668, 42.22973, -8.554091, 1.275036, -5.940668, 4.936232, 42.22973, 358.4929, 3.05, 0.54, 11.89744
0.1333333, -8.554091, -5.940668, 42.22973, -8.554091, 1.275036, -5.940668, 4.936232, 42.22973, 358.4929, 3.05, 0.54, 11.89744
0.1444445, -8.554091, -5.940668, 42.22973, -8.554091, 1.275036, -5.940668, 4.936232, 42.22973, 358.4929, 3.05, 0.54, 11.89744
0.1555556, -8.554091, -5.940668, 42.22973, -8.554091, 1.275036, -5.940668, 4.936232, 42.22973, 358.4929, 3.05, 0.54, 11.89744
0.1666667, -8.554091, -5.940668, 42.22973, -8.554091, 1.275036, -5.940668, 4.936232, 42.22973, 358.4929, 3.05, 0.54, 11.89744
0.1777778, -8.554091, -5.940668, 42.22973, -8.554091, 1.275036, -5.940668, 4.936232, 42.22973, 358.4929, 3.05, 0.54, 11.89744
0.1888889, -8.554091, -5.940668, 42.22973, -8.554091, 1.275036, -5.940668, 4.936232, 42.22973, 358.4929, 3.05, 0.54, 11.89744
0.2, -8.554091, -5.940668, 42.22973, -8.554091, 1.275036, -5.940668, 4.936232, 42.22973, 358.4929, 3.05, 0.54, 11.89744
