Time,X,Y,Heading,CameraX,CameraY,CameraZ,CameraAngX,CameraAngY,CameraAngZ,GoalX,GoalY,DistanceToGoal
0, 0, 0, 0, 0, 1.22, 0, 0, 0, 0, 3.05, 0.54, 4.632634
0.01111111, 0, 0, 0, 0, 1.22, 0, 0, 0, 0, 3.05, 0.54, 4.632634
0.02222222, -1.267156, -2.023091, 20.30894, -1.267156, 1.366282, -2.023091, 12.02893, 20.30894, 1.461018, 3.05, 0.54, 4.612151
0.03333334, -1.267156, -2.023091, 20.30894, -1.267156, 1.366282, -2.023091, 12.02893, 20.30894, 1.461018, 3.05, 0.54, 4.612151
0.04444445, -1.267156, -2.023091, 20.30894, -1.267156, 1.366282, -2.023091, 12.02893, 20.30894, 1.461018, 3.05, 0.54, 4.612151
0.05555556, -1.267156, -2.023091, 20.30894, -1.267156, 1.366282, -2.023091, 12.02893, 20.30894, 1.461018, 3.05, 0.54, 4.612151
0.06666667, -1.267156, -2.023091, 20.30894, -1.267156, 1.366282, -2.023091, 12.02893, 20.30894, 1.461018, 3.05, 0.54, 4.612151
0.07777778, -1.267156, -2.023091, 20.30894, -1.267156, 1.366282, -2.023091, 12.02893, 20.30894, 1.461018, 3.05, 0.54, 4.612151
0.08888889, -1.267156, -2.023091, 20.30894, -1.267156, 1.366282, -2.023091, 12.02893, 20.30894, 1.461018, 3.05, 0.54, 4.612151
0.1, -1.267156, -2.023091, 20.30894, -1.267156, 1.366282, -2.023091, 12.02893, 20.30894, 1.461018, 3.05, 0.54, 4.612151
0.1111111, -1.267156, -2.023091, 20.30894, -1.267156, 1.366282, -2.023091, 12.02893, 20.30894, 1.461018, 3.05, 0.54, 4.612151
0.1222222, -1.267156, -2.023091, 20.30894, -1.267156, 1.366282, -2.023091, 12.02893, 20.30894, 1.461018, 3.05, 0.54, 4.612151
0.1333333, -1.267156, -2.023091, 20.30894, -1.267156, 1.366282, -2.023091, 12.02893, 20.30894, 1.461018, 3.05, 0.54, 4.612151
