Time,X,Y,Heading,CameraX,CameraY,CameraZ,CameraAngX,CameraAngY,CameraAngZ,GoalX,GoalZ,DistanceToGoal
0, 0, 0, 0, 0, 1.22, 0, 0, 0, 0, -1.65, -3.42, 3.857629
0.01111111, 0, 0, 0, 0, 1.22, 0, 0, 0, 0, -1.65, -3.42, 3.857629
0.02222222, 2.534085, 3.243093, 258.3933, 2.534085, 1.354073, 3.243093, 7.381495, 258.3933, 6.112626, -1.65, -3.42, 7.909873
0.03333334, 2.534085, 3.243093, 258.3933, 2.534085, 1.354073, 3.243093, 7.381495, 258.3933, 6.112626, -1.65, -3.42, 7.909873
0.04444445, 2.534085, 3.243093, 258.3933, 2.534085, 1.354073, 3.243093, 7.381495, 258.3933, 6.112626, -1.65, -3.42, 7.909873
0.05555556, 2.534085, 3.243093, 258.3933, 2.534085, 1.354073, 3.243093, 7.381495, 258.3933, 6.112626, -1.65, -3.42, 7.909873
0.06666667, 2.534085, 3.243093, 258.3933, 2.534085, 1.354073, 3.243093, 7.381495, 258.3933, 6.112626, -1.65, -3.42, 7.909873
0.07777778, 2.534085, 3.243093, 258.3933, 2.534085, 1.354073, 3.243093, 7.381495, 258.3933, 6.112626, -1.65, -3.42, 7.909873
0.08888889, 2.534085, 3.243093, 258.3933, 2.534085, 1.354073, 3.243093, 7.381495, 258.3933, 6.112626, -1.65, -3.42, 7.909873
0.1, 2.534085, 3.243093, 258.3933, 2.534085, 1.354073, 3.243093, 7.381495, 258.3933, 6.112626, -1.65, -3.42, 7.909873
0.1111111, 2.534085, 3.243093, 258.3933, 2.534085, 1.354073, 3.243093, 7.381495, 258.3933, 6.112626, -1.65, -3.42, 7.909873
0.1222222, 2.534085, 3.243093, 258.3933, 2.534085, 1.354073, 3.243093, 7.381495, 258.3933, 6.112626, -1.65, -3.42, 7.909873
0.1333333, 2.534085, 3.243093, 258.3933, 2.534085, 1.354073, 3.243093, 7.381495, 258.3933, 6.112626, -1.65, -3.42, 7.909873
0.1444445, 2.534085, 3.243093, 258.3933, 2.534085, 1.354073, 3.243093, 7.381495, 258.3933, 6.112626, -1.65, -3.42, 7.909873
0.1555556, 2.534085, 3.243093, 258.3933, 2.534085, 1.354073, 3.243093, 7.381495, 258.3933, 6.112626, -1.65, -3.42, 7.909873
0.1666667, 2.534085, 3.243093, 258.3933, 2.534085, 1.354073, 3.243093, 7.381495, 258.3933, 6.112626, -1.65, -3.42, 7.909873
0.1777778, 2.534085, 3.243093, 258.3933, 2.534085, 1.354073, 3.243093, 7.381495, 258.3933, 6.112626, -1.65, -3.42, 7.909873
0.1888889, 2.534085, 3.243093, 258.3933, 2.534085, 1.354073, 3.243093, 7.381495, 258.3933, 6.112626, -1.65, -3.42, 7.909873
0.2, 2.534085, 3.243093, 258.3933, 2.534085, 1.354073, 3.243093, 7.381495, 258.3933, 6.112626, -1.65, -3.42, 7.909873
0.2111111, 2.534085, 3.243093, 258.3933, 2.534085, 1.354073, 3.243093, 7.381495, 258.3933, 6.112626, -1.65, -3.42, 7.909873
0.2222222, 2.534085, 3.243093, 258.3933, 2.534085, 1.354073, 3.243093, 7.381495, 258.3933, 6.112626, -1.65, -3.42, 7.909873
0.2333333, 2.534085, 3.243093, 258.3933, 2.534085, 1.354073, 3.243093, 7.381495, 258.3933, 6.112626, -1.65, -3.42, 7.909873
0.2444444, 2.534085, 3.243093, 258.3933, 2.534085, 1.354073, 3.243093, 7.381495, 258.3933, 6.112626, -1.65, -3.42, 7.909873
