Time,X,Y,Heading,CameraX,CameraY,CameraZ,CameraAngX,CameraAngY,CameraAngZ,GoalX,GoalY,DistanceToGoal
0, 0, 0, 0, 0, 1.22, 0, 0, 0, 0, 3.21, 0.54, 4.739504
0.01111111, 0, 0, 0, 0, 1.22, 0, 0, 0, 0, 3.21, 0.54, 4.739504
0.02222222, -4.03728, 2.718502, 71.88284, -4.03728, 1.400944, 2.718502, 12.24514, 71.88284, 0.5097094, 3.21, 0.54, 9.536535
0.03333334, -4.03728, 2.718502, 71.88284, -4.03728, 1.400944, 2.718502, 12.24514, 71.88284, 0.5097094, 3.21, 0.54, 9.536535
0.04444445, -4.03728, 2.718502, 71.88284, -4.03728, 1.400944, 2.718502, 12.24514, 71.88284, 0.5097094, 3.21, 0.54, 9.536535
0.05555556, -4.03728, 2.718502, 71.88284, -4.03728, 1.400944, 2.718502, 12.24514, 71.88284, 0.5097094, 3.21, 0.54, 9.536535
0.06666667, -4.03728, 2.718502, 71.88284, -4.03728, 1.400944, 2.718502, 12.24514, 71.88284, 0.5097094, 3.21, 0.54, 9.536535
0.07777778, -4.03728, 2.718502, 71.88284, -4.03728, 1.400944, 2.718502, 12.24514, 71.88284, 0.5097094, 3.21, 0.54, 9.536535
0.08888889, -4.03728, 2.718502, 71.88284, -4.03728, 1.400944, 2.718502, 12.24514, 71.88284, 0.5097094, 3.21, 0.54, 9.536535
0.1, -4.03728, 2.718502, 71.88284, -4.03728, 1.400944, 2.718502, 12.24514, 71.88284, 0.5097094, 3.21, 0.54, 9.536535
0.1111111, -4.03728, 2.718502, 71.88284, -4.03728, 1.400944, 2.718502, 12.24514, 71.88284, 0.5097094, 3.21, 0.54, 9.536535
0.1222222, -4.03728, 2.718502, 71.88284, -4.03728, 1.400944, 2.718502, 12.24514, 71.88284, 0.5097094, 3.21, 0.54, 9.536535
0.1333333, -4.03728, 2.718502, 71.88284, -4.03728, 1.400944, 2.718502, 12.24514, 71.88284, 0.5097094, 3.21, 0.54, 9.536535
0.1444445, -4.03728, 2.718502, 71.88284, -4.03728, 1.400944, 2.718502, 12.24514, 71.88284, 0.5097094, 3.21, 0.54, 9.536535
0.1555556, -4.03728, 2.718502, 71.88284, -4.03728, 1.400944, 2.718502, 12.24514, 71.88284, 0.5097094, 3.21, 0.54, 9.536535
0.1666667, -4.03728, 2.718502, 71.88284, -4.03728, 1.400944, 2.718502, 12.24514, 71.88284, 0.5097094, 3.21, 0.54, 9.536535
0.1777778, -4.03728, 2.718502, 71.88284, -4.03728, 1.400944, 2.718502, 12.24514, 71.88284, 0.5097094, 3.21, 0.54, 9.536535
0.1888889, -4.03728, 2.718502, 71.88284, -4.03728, 1.400944, 2.718502, 12.24514, 71.88284, 0.5097094, 3.21, 0.54, 9.536535
0.2, -4.03728, 2.718502, 71.88284, -4.03728, 1.400944, 2.718502, 12.24514, 71.88284, 0.5097094, 3.21, 0.54, 9.536535
0.2111111, -4.03728, 2.718502, 71.88284, -4.03728, 1.400944, 2.718502, 12.24514, 71.88284, 0.5097094, 3.21, 0.54, 9.536535
0.2222222, -4.03728, 2.718502, 71.88284, -4.03728, 1.400944, 2.718502, 12.24514, 71.88284, 0.5097094, 3.21, 0.54, 9.536535
0.2333333, -4.03728, 2.718502, 71.88284, -4.03728, 1.400944, 2.718502, 12.24514, 71.88284, 0.5097094, 3.21, 0.54, 9.536535
0.2444444, -4.03728, 2.718502, 71.88284, -4.03728, 1.400944, 2.718502, 12.24514, 71.88284, 0.5097094, 3.21, 0.54, 9.536535
0.2555556, -4.03728, 2.718502, 71.88284, -4.03728, 1.400944, 2.718502, 12.24514, 71.88284, 0.5097094, 3.21, 0.54, 9.536535
0.2666667, -4.03728, 2.718502, 71.88284, -4.03728, 1.400944, 2.718502, 12.24514, 71.88284, 0.5097094, 3.21, 0.54, 9.536535
