Time,X,Y,Heading,CameraX,CameraY,CameraZ,CameraAngX,CameraAngY,CameraAngZ,GoalX,GoalZ,DistanceToGoal
0, 0, 0, 0, 0, 1.22, 0, 0, 0, 0, -3.64, -3.59, 5.157528
0.01111111, 0, 0, 0, 0, 1.22, 0, 0, 0, 0, -3.64, -3.59, 5.157528
0.02222222, 3.084836, -3.221571, 276.3705, 3.084836, 1.378664, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.786937
0.03333334, 3.084836, -3.221571, 276.3705, 3.084836, 1.378664, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.786937
0.04444445, 3.084836, -3.221571, 276.3705, 3.084836, 1.378664, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.786937
0.05555556, 3.084836, -3.221571, 276.3705, 3.084836, 1.378664, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.786937
0.06666667, 3.084836, -3.221571, 276.3705, 3.084836, 1.378664, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.786937
0.07777778, 3.084836, -3.221571, 276.3705, 3.084836, 1.378664, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.786937
0.08888889, 3.084836, -3.221571, 276.3705, 3.084836, 1.378664, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.786937
0.1, 3.084836, -3.221571, 276.3705, 3.084836, 1.378664, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.786937
0.1111111, 3.084836, -3.221571, 276.3705, 3.084836, 1.378664, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.786937
0.1222222, 3.084836, -3.221571, 276.3705, 3.084836, 1.378664, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.786937
0.1333333, 3.084836, -3.221571, 276.3705, 3.084836, 1.378664, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.786937
0.1444445, 3.084836, -3.221571, 276.3705, 3.084836, 1.378664, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.786937
0.1555556, 3.084836, -3.221571, 276.3705, 3.084836, 1.378664, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.786937
0.1666667, 3.084836, -3.221571, 276.3705, 3.084836, 1.378664, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.786937
0.1777778, 3.084836, -3.221571, 276.3705, 3.084836, 1.378664, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.786937
0.1888889, 3.084836, -3.221571, 276.3705, 3.084836, 1.378664, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.786937
0.2, 3.084836, -3.221571, 276.3705, 3.084836, 1.378664, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.786937
0.2111111, 3.084836, -3.221571, 276.3705, 3.084836, 1.378664, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.786937
0.2222222, 3.084836, -3.221571, 276.3705, 3.084836, 1.378664, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.786937
0.2333333, 3.084836, -3.221571, 276.3705, 3.084836, 1.378664, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.786937
0.2444444, 3.084836, -3.221571, 276.3705, 3.084836, 1.378664, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.786937
0.2555556, 3.084836, -3.221571, 276.3705, 3.084836, 1.378664, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.786937
0.2666667, 3.084836, -3.221571, 276.3705, 3.084836, 1.378664, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.786937
0.2777778, 3.084836, -3.221571, 276.3705, 3.084836, 1.378664, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.786937
0.2888889, 3.084836, -3.221571, 276.3705, 3.084836, 1.378664, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.786937
0.3, 3.084836, -3.221571, 276.3705, 3.084836, 1.378664, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.786937
0.3111111, 3.084836, -3.221571, 276.3705, 3.084836, 1.378664, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.786937
0.3222222, 3.084836, -3.221571, 276.3705, 3.084836, 1.378664, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.786937
0.3333333, 3.084836, -3.221571, 276.3705, 3.084836, 1.378664, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.786937
0.3444445, 3.084836, -3.221571, 276.3705, 3.084836, 1.378664, -3.221571, 359.0073, 276.3705, 358.3981, -3.64, -3.59, 6.786937
0.3555556, 3.108433, -3.215333, 284.3096, 3.108433, 1.375832, -3.215333, 359.155, 284.3096, 0.1290287, -3.64, -3.59, 6.810311
0.3666667, 3.108433, -3.215333, 284.3096, 3.108433, 1.375832, -3.215333, 359.155, 284.3096, 0.1290287, -3.64, -3.59, 6.810311
0.3777778, 3.108433, -3.215333, 284.3096, 3.108433, 1.375832, -3.215333, 359.155, 284.3096, 0.1290287, -3.64, -3.59, 6.810311
0.3888889, 3.108433, -3.215333, 284.3096, 3.108433, 1.375832, -3.215333, 359.155, 284.3096, 0.1290287, -3.64, -3.59, 6.810311
0.4, 3.108433, -3.215333, 284.3096, 3.108433, 1.375832, -3.215333, 359.155, 284.3096, 0.1290287, -3.64, -3.59, 6.810311
0.4111111, 3.108433, -3.215333, 284.3096, 3.108433, 1.375832, -3.215333, 359.155, 284.3096, 0.1290287, -3.64, -3.59, 6.810311
0.4222222, 3.108433, -3.215333, 284.3096, 3.108433, 1.375832, -3.215333, 359.155, 284.3096, 0.1290287, -3.64, -3.59, 6.810311
0.4333333, 3.108433, -3.215333, 284.3096, 3.108433, 1.375832, -3.215333, 359.155, 284.3096, 0.1290287, -3.64, -3.59, 6.810311
0.4444444, 3.108433, -3.215333, 284.3096, 3.108433, 1.375832, -3.215333, 359.155, 284.3096, 0.1290287, -3.64, -3.59, 6.810311
0.4555556, 3.108433, -3.215333, 284.3096, 3.108433, 1.375832, -3.215333, 359.155, 284.3096, 0.1290287, -3.64, -3.59, 6.810311
0.4666667, 3.108433, -3.215333, 284.3096, 3.108433, 1.375832, -3.215333, 359.155, 284.3096, 0.1290287, -3.64, -3.59, 6.810311
0.4777778, 3.108633, -3.215704, 284.3083, 3.108633, 1.375858, -3.215704, 359.094, 284.3083, 0.1484603, -3.64, -3.59, 6.810492
0.4888889, 3.108633, -3.215704, 284.3083, 3.108633, 1.375858, -3.215704, 359.094, 284.3083, 0.1484603, -3.64, -3.59, 6.810492
0.5, 3.10984, -3.2174, 284.2176, 3.10984, 1.376484, -3.2174, 358.8699, 284.2176, 0.2663115, -3.64, -3.59, 6.811672
0.5111111, 3.112218, -3.224761, 282.4379, 3.112218, 1.379064, -3.224761, 357.3561, 282.4379, 0.8457884, -3.64, -3.59, 6.813947
0.5222222, 3.112218, -3.224761, 282.4379, 3.112218, 1.379064, -3.224761, 357.3561, 282.4379, 0.8457884, -3.64, -3.59, 6.813947
0.5333334, 3.112218, -3.224761, 282.4379, 3.112218, 1.379064, -3.224761, 357.3561, 282.4379, 0.8457884, -3.64, -3.59, 6.813947
0.5444444, 3.112218, -3.224761, 282.4379, 3.112218, 1.379064, -3.224761, 357.3561, 282.4379, 0.8457884, -3.64, -3.59, 6.813947
0.5555556, 3.112218, -3.224761, 282.4379, 3.112218, 1.379064, -3.224761, 357.3561, 282.4379, 0.8457884, -3.64, -3.59, 6.813947
0.5666667, 3.112218, -3.224761, 282.4379, 3.112218, 1.379064, -3.224761, 357.3561, 282.4379, 0.8457884, -3.64, -3.59, 6.813947
0.5777778, 3.112218, -3.224761, 282.4379, 3.112218, 1.379064, -3.224761, 357.3561, 282.4379, 0.8457884, -3.64, -3.59, 6.813947
0.5888889, 3.112218, -3.224761, 282.4379, 3.112218, 1.379064, -3.224761, 357.3561, 282.4379, 0.8457884, -3.64, -3.59, 6.813947
0.6, 3.112218, -3.224761, 282.4379, 3.112218, 1.379064, -3.224761, 357.3561, 282.4379, 0.8457884, -3.64, -3.59, 6.813947
0.6111111, 3.112218, -3.224761, 282.4379, 3.112218, 1.379064, -3.224761, 357.3561, 282.4379, 0.8457884, -3.64, -3.59, 6.813947
0.6222222, 3.112218, -3.224761, 282.4379, 3.112218, 1.379064, -3.224761, 357.3561, 282.4379, 0.8457884, -3.64, -3.59, 6.813947
0.6333333, 3.112218, -3.224761, 282.4379, 3.112218, 1.379064, -3.224761, 357.3561, 282.4379, 0.8457884, -3.64, -3.59, 6.813947
0.6444445, 3.112218, -3.224761, 282.4379, 3.112218, 1.379064, -3.224761, 357.3561, 282.4379, 0.8457884, -3.64, -3.59, 6.813947
0.6555555, 3.112218, -3.224761, 282.4379, 3.112218, 1.379064, -3.224761, 357.3561, 282.4379, 0.8457884, -3.64, -3.59, 6.813947
0.6666667, 3.112218, -3.224761, 282.4379, 3.112218, 1.379064, -3.224761, 357.3561, 282.4379, 0.8457884, -3.64, -3.59, 6.813947
0.6777778, 3.112218, -3.224761, 282.4379, 3.112218, 1.379064, -3.224761, 357.3561, 282.4379, 0.8457884, -3.64, -3.59, 6.813947
0.6888889, 3.112218, -3.224761, 282.4379, 3.112218, 1.379064, -3.224761, 357.3561, 282.4379, 0.8457884, -3.64, -3.59, 6.813947
0.7, 3.111857, -3.23125, 278.5536, 3.111857, 1.379742, -3.23125, 356.6758, 278.5536, 0.4985009, -3.64, -3.59, 6.813328
0.7111111, 3.111857, -3.23125, 278.5536, 3.111857, 1.379742, -3.23125, 356.6758, 278.5536, 0.4985009, -3.64, -3.59, 6.813328
0.7222223, 3.111857, -3.23125, 278.5536, 3.111857, 1.379742, -3.23125, 356.6758, 278.5536, 0.4985009, -3.64, -3.59, 6.813328
0.7333333, 3.111857, -3.23125, 278.5536, 3.111857, 1.379742, -3.23125, 356.6758, 278.5536, 0.4985009, -3.64, -3.59, 6.813328
0.7444445, 3.111857, -3.23125, 278.5536, 3.111857, 1.379742, -3.23125, 356.6758, 278.5536, 0.4985009, -3.64, -3.59, 6.813328
0.7555556, 3.111857, -3.23125, 278.5536, 3.111857, 1.379742, -3.23125, 356.6758, 278.5536, 0.4985009, -3.64, -3.59, 6.813328
0.7666667, 3.111857, -3.23125, 278.5536, 3.111857, 1.379742, -3.23125, 356.6758, 278.5536, 0.4985009, -3.64, -3.59, 6.813328
0.7777778, 3.111857, -3.23125, 278.5536, 3.111857, 1.379742, -3.23125, 356.6758, 278.5536, 0.4985009, -3.64, -3.59, 6.813328
0.7888889, 3.111857, -3.23125, 278.5536, 3.111857, 1.379742, -3.23125, 356.6758, 278.5536, 0.4985009, -3.64, -3.59, 6.813328
0.8, 3.111857, -3.23125, 278.5536, 3.111857, 1.379742, -3.23125, 356.6758, 278.5536, 0.4985009, -3.64, -3.59, 6.813328
