Time,X,Y,Heading,CameraX,CameraY,CameraZ,CameraAngX,CameraAngY,CameraAngZ,GoalX,GoalY,DistanceToGoal
0, 0, 0, 0, 0, 1.22, 0, 0, 0, 0, -3.64, 0.54, 5.157528
0.01111111, 0, 0, 0, 0, 1.22, 0, 0, 0, 0, -3.64, 0.54, 5.157528
0.02222222, 3.533464, -3.479113, 302.1938, 3.533464, 1.366473, -3.479113, 6.883864, 302.1938, -0.005502323, -3.64, 0.54, 7.221769
0.03333334, 3.533464, -3.479113, 302.1938, 3.533464, 1.366473, -3.479113, 6.883864, 302.1938, -0.005502323, -3.64, 0.54, 7.221769
0.04444445, 3.533464, -3.479113, 302.1938, 3.533464, 1.366473, -3.479113, 6.883864, 302.1938, -0.005502323, -3.64, 0.54, 7.221769
0.05555556, 3.533464, -3.479113, 302.1938, 3.533464, 1.366473, -3.479113, 6.883864, 302.1938, -0.005502323, -3.64, 0.54, 7.221769
0.06666667, 3.533464, -3.479113, 302.1938, 3.533464, 1.366473, -3.479113, 6.883864, 302.1938, -0.005502323, -3.64, 0.54, 7.221769
0.07777778, 3.533464, -3.479113, 302.1938, 3.533464, 1.366473, -3.479113, 6.883864, 302.1938, -0.005502323, -3.64, 0.54, 7.221769
0.08888889, 3.533464, -3.479113, 302.1938, 3.533464, 1.366473, -3.479113, 6.883864, 302.1938, -0.005502323, -3.64, 0.54, 7.221769
0.1, 3.533464, -3.479113, 302.1938, 3.533464, 1.366473, -3.479113, 6.883864, 302.1938, -0.005502323, -3.64, 0.54, 7.221769
0.1111111, 3.533464, -3.479113, 302.1938, 3.533464, 1.366473, -3.479113, 6.883864, 302.1938, -0.005502323, -3.64, 0.54, 7.221769
0.1222222, 3.533464, -3.479113, 302.1938, 3.533464, 1.366473, -3.479113, 6.883864, 302.1938, -0.005502323, -3.64, 0.54, 7.221769
0.1333333, 3.533464, -3.479113, 302.1938, 3.533464, 1.366473, -3.479113, 6.883864, 302.1938, -0.005502323, -3.64, 0.54, 7.221769
0.1444445, 3.533464, -3.479113, 302.1938, 3.533464, 1.366473, -3.479113, 6.883864, 302.1938, -0.005502323, -3.64, 0.54, 7.221769
0.1555556, 3.533464, -3.479113, 302.1938, 3.533464, 1.366473, -3.479113, 6.883864, 302.1938, -0.005502323, -3.64, 0.54, 7.221769
0.1666667, 3.533464, -3.479113, 302.1938, 3.533464, 1.366473, -3.479113, 6.883864, 302.1938, -0.005502323, -3.64, 0.54, 7.221769
0.1777778, 3.533464, -3.479113, 302.1938, 3.533464, 1.366473, -3.479113, 6.883864, 302.1938, -0.005502323, -3.64, 0.54, 7.221769
0.1888889, 3.533464, -3.479113, 302.1938, 3.533464, 1.366473, -3.479113, 6.883864, 302.1938, -0.005502323, -3.64, 0.54, 7.221769
0.2, 3.533464, -3.479113, 302.1938, 3.533464, 1.366473, -3.479113, 6.883864, 302.1938, -0.005502323, -3.64, 0.54, 7.221769
0.2111111, 3.533464, -3.479113, 302.1938, 3.533464, 1.366473, -3.479113, 6.883864, 302.1938, -0.005502323, -3.64, 0.54, 7.221769
0.2222222, 3.533464, -3.479113, 302.1938, 3.533464, 1.366473, -3.479113, 6.883864, 302.1938, -0.005502323, -3.64, 0.54, 7.221769
0.2333333, 3.533464, -3.479113, 302.1938, 3.533464, 1.366473, -3.479113, 6.883864, 302.1938, -0.005502323, -3.64, 0.54, 7.221769
0.2444444, 3.533464, -3.479113, 302.1938, 3.533464, 1.366473, -3.479113, 6.883864, 302.1938, -0.005502323, -3.64, 0.54, 7.221769
0.2555556, 3.533464, -3.479113, 302.1938, 3.533464, 1.366473, -3.479113, 6.883864, 302.1938, -0.005502323, -3.64, 0.54, 7.221769
0.2666667, 3.533464, -3.479113, 302.1938, 3.533464, 1.366473, -3.479113, 6.883864, 302.1938, -0.005502323, -3.64, 0.54, 7.221769
0.2777778, 3.533464, -3.479113, 302.1938, 3.533464, 1.366473, -3.479113, 6.883864, 302.1938, -0.005502323, -3.64, 0.54, 7.221769
0.2888889, 3.533464, -3.479113, 302.1938, 3.533464, 1.366473, -3.479113, 6.883864, 302.1938, -0.005502323, -3.64, 0.54, 7.221769
0.3, 3.533464, -3.479113, 302.1938, 3.533464, 1.366473, -3.479113, 6.883864, 302.1938, -0.005502323, -3.64, 0.54, 7.221769
0.3111111, 3.533464, -3.479113, 302.1938, 3.533464, 1.366473, -3.479113, 6.883864, 302.1938, -0.005502323, -3.64, 0.54, 7.221769
0.3222222, 3.533464, -3.479113, 302.1938, 3.533464, 1.366473, -3.479113, 6.883864, 302.1938, -0.005502323, -3.64, 0.54, 7.221769
0.3333333, 3.533464, -3.479113, 302.1938, 3.533464, 1.366473, -3.479113, 6.883864, 302.1938, -0.005502323, -3.64, 0.54, 7.221769
0.3444445, 3.533464, -3.479113, 302.1938, 3.533464, 1.366473, -3.479113, 6.883864, 302.1938, -0.005502323, -3.64, 0.54, 7.221769
0.3555556, 3.527796, -3.496462, 294.5773, 3.527796, 1.365516, -3.496462, 7.951643, 294.5773, 1.486887, -3.64, 0.54, 7.215783
0.3666667, 3.527796, -3.496462, 294.5773, 3.527796, 1.365516, -3.496462, 7.951643, 294.5773, 1.486887, -3.64, 0.54, 7.215783
0.3777778, 3.527796, -3.496462, 294.5773, 3.527796, 1.365516, -3.496462, 7.951643, 294.5773, 1.486887, -3.64, 0.54, 7.215783
0.3888889, 3.527796, -3.496462, 294.5773, 3.527796, 1.365516, -3.496462, 7.951643, 294.5773, 1.486887, -3.64, 0.54, 7.215783
0.4, 3.527796, -3.496462, 294.5773, 3.527796, 1.365516, -3.496462, 7.951643, 294.5773, 1.486887, -3.64, 0.54, 7.215783
0.4111111, 3.527796, -3.496462, 294.5773, 3.527796, 1.365516, -3.496462, 7.951643, 294.5773, 1.486887, -3.64, 0.54, 7.215783
0.4222222, 3.527796, -3.496462, 294.5773, 3.527796, 1.365516, -3.496462, 7.951643, 294.5773, 1.486887, -3.64, 0.54, 7.215783
0.4333333, 3.527796, -3.496462, 294.5773, 3.527796, 1.365516, -3.496462, 7.951643, 294.5773, 1.486887, -3.64, 0.54, 7.215783
0.4444444, 3.527796, -3.496462, 294.5773, 3.527796, 1.365516, -3.496462, 7.951643, 294.5773, 1.486887, -3.64, 0.54, 7.215783
0.4555556, 3.527796, -3.496462, 294.5773, 3.527796, 1.365516, -3.496462, 7.951643, 294.5773, 1.486887, -3.64, 0.54, 7.215783
0.4666667, 3.527796, -3.496462, 294.5773, 3.527796, 1.365516, -3.496462, 7.951643, 294.5773, 1.486887, -3.64, 0.54, 7.215783
0.4777778, 3.527518, -3.496554, 295.5254, 3.527518, 1.3657, -3.496554, 8.373423, 295.5254, 1.308617, -3.64, 0.54, 7.215527
0.4888889, 3.527518, -3.496554, 295.5254, 3.527518, 1.3657, -3.496554, 8.373423, 295.5254, 1.308617, -3.64, 0.54, 7.215527
0.5, 3.527518, -3.496554, 295.5254, 3.527518, 1.3657, -3.496554, 8.373423, 295.5254, 1.308617, -3.64, 0.54, 7.215527
0.5111111, 3.528726, -3.493943, 297.5327, 3.528726, 1.364855, -3.493943, 8.027374, 297.5327, 1.453638, -3.64, 0.54, 7.216664
0.5222222, 3.528726, -3.493943, 297.5327, 3.528726, 1.364855, -3.493943, 8.027374, 297.5327, 1.453638, -3.64, 0.54, 7.216664
0.5333334, 3.527523, -3.492491, 299.3759, 3.527523, 1.366205, -3.492491, 7.37415, 299.3759, 1.515532, -3.64, 0.54, 7.215643
0.5444444, 3.527523, -3.492491, 299.3759, 3.527523, 1.366205, -3.492491, 7.37415, 299.3759, 1.515532, -3.64, 0.54, 7.215643
0.5555556, 3.527732, -3.492102, 299.1706, 3.527732, 1.366562, -3.492102, 7.546129, 299.1706, 1.746743, -3.64, 0.54, 7.215898
0.5666667, 3.527458, -3.492115, 298.9543, 3.527458, 1.366395, -3.492115, 7.547809, 298.9543, 1.888168, -3.64, 0.54, 7.215605
0.5777778, 3.527469, -3.492369, 298.669, 3.527469, 1.3666, -3.492369, 7.605605, 298.669, 2.125298, -3.64, 0.54, 7.215637
0.5888889, 3.527201, -3.492249, 298.672, 3.527201, 1.366667, -3.492249, 7.652827, 298.672, 2.261091, -3.64, 0.54, 7.21538
0.6, 3.52705, -3.4922, 298.7151, 3.52705, 1.366716, -3.4922, 7.676394, 298.7151, 2.245536, -3.64, 0.54, 7.215235
0.6111111, 3.526948, -3.492216, 298.7206, 3.526948, 1.367025, -3.492216, 7.685525, 298.7206, 2.064025, -3.64, 0.54, 7.21517
0.6222222, 3.526257, -3.488928, 298.6904, 3.526257, 1.366816, -3.488928, 6.362746, 298.6904, 1.519972, -3.64, 0.54, 7.214505
0.6333333, 3.526257, -3.488928, 298.6904, 3.526257, 1.366816, -3.488928, 6.362746, 298.6904, 1.519972, -3.64, 0.54, 7.214505
0.6444445, 3.526257, -3.488928, 298.6904, 3.526257, 1.366816, -3.488928, 6.362746, 298.6904, 1.519972, -3.64, 0.54, 7.214505
0.6555555, 3.526257, -3.488928, 298.6904, 3.526257, 1.366816, -3.488928, 6.362746, 298.6904, 1.519972, -3.64, 0.54, 7.214505
0.6666667, 3.526257, -3.488928, 298.6904, 3.526257, 1.366816, -3.488928, 6.362746, 298.6904, 1.519972, -3.64, 0.54, 7.214505
0.6777778, 3.526257, -3.488928, 298.6904, 3.526257, 1.366816, -3.488928, 6.362746, 298.6904, 1.519972, -3.64, 0.54, 7.214505
0.6888889, 3.526257, -3.488928, 298.6904, 3.526257, 1.366816, -3.488928, 6.362746, 298.6904, 1.519972, -3.64, 0.54, 7.214505
0.7, 3.526257, -3.488928, 298.6904, 3.526257, 1.366816, -3.488928, 6.362746, 298.6904, 1.519972, -3.64, 0.54, 7.214505
0.7111111, 3.526257, -3.488928, 298.6904, 3.526257, 1.366816, -3.488928, 6.362746, 298.6904, 1.519972, -3.64, 0.54, 7.214505
0.7222223, 3.526257, -3.488928, 298.6904, 3.526257, 1.366816, -3.488928, 6.362746, 298.6904, 1.519972, -3.64, 0.54, 7.214505
0.7333333, 3.526257, -3.488928, 298.6904, 3.526257, 1.366816, -3.488928, 6.362746, 298.6904, 1.519972, -3.64, 0.54, 7.214505
0.7444445, 3.526257, -3.488928, 298.6904, 3.526257, 1.366816, -3.488928, 6.362746, 298.6904, 1.519972, -3.64, 0.54, 7.214505
0.7555556, 3.526257, -3.488928, 298.6904, 3.526257, 1.366816, -3.488928, 6.362746, 298.6904, 1.519972, -3.64, 0.54, 7.214505
0.7666667, 3.526257, -3.488928, 298.6904, 3.526257, 1.366816, -3.488928, 6.362746, 298.6904, 1.519972, -3.64, 0.54, 7.214505
0.7777778, 3.526257, -3.488928, 298.6904, 3.526257, 1.366816, -3.488928, 6.362746, 298.6904, 1.519972, -3.64, 0.54, 7.214505
0.7888889, 3.526257, -3.488928, 298.6904, 3.526257, 1.366816, -3.488928, 6.362746, 298.6904, 1.519972, -3.64, 0.54, 7.214505
0.8, 3.526257, -3.488928, 298.6904, 3.526257, 1.366816, -3.488928, 6.362746, 298.6904, 1.519972, -3.64, 0.54, 7.214505
0.8111112, 3.526257, -3.488928, 298.6904, 3.526257, 1.366816, -3.488928, 6.362746, 298.6904, 1.519972, -3.64, 0.54, 7.214505
0.8222222, 3.526257, -3.488928, 298.6904, 3.526257, 1.366816, -3.488928, 6.362746, 298.6904, 1.519972, -3.64, 0.54, 7.214505
0.8333334, 3.526257, -3.488928, 298.6904, 3.526257, 1.366816, -3.488928, 6.362746, 298.6904, 1.519972, -3.64, 0.54, 7.214505
0.8444445, 3.526257, -3.488928, 298.6904, 3.526257, 1.366816, -3.488928, 6.362746, 298.6904, 1.519972, -3.64, 0.54, 7.214505
0.8555556, 3.526257, -3.488928, 298.6904, 3.526257, 1.366816, -3.488928, 6.362746, 298.6904, 1.519972, -3.64, 0.54, 7.214505
0.8666667, 3.526257, -3.488928, 298.6904, 3.526257, 1.366816, -3.488928, 6.362746, 298.6904, 1.519972, -3.64, 0.54, 7.214505
0.8777778, 3.526257, -3.488928, 298.6904, 3.526257, 1.366816, -3.488928, 6.362746, 298.6904, 1.519972, -3.64, 0.54, 7.214505
0.8888889, 3.526257, -3.488928, 298.6904, 3.526257, 1.366816, -3.488928, 6.362746, 298.6904, 1.519972, -3.64, 0.54, 7.214505
0.9, 3.526257, -3.488928, 298.6904, 3.526257, 1.366816, -3.488928, 6.362746, 298.6904, 1.519972, -3.64, 0.54, 7.214505
0.9111111, 3.526257, -3.488928, 298.6904, 3.526257, 1.366816, -3.488928, 6.362746, 298.6904, 1.519972, -3.64, 0.54, 7.214505
0.9222223, 3.526257, -3.488928, 298.6904, 3.526257, 1.366816, -3.488928, 6.362746, 298.6904, 1.519972, -3.64, 0.54, 7.214505
0.9333333, 3.526257, -3.488928, 298.6904, 3.526257, 1.366816, -3.488928, 6.362746, 298.6904, 1.519972, -3.64, 0.54, 7.214505
0.9444445, 3.526257, -3.488928, 298.6904, 3.526257, 1.366816, -3.488928, 6.362746, 298.6904, 1.519972, -3.64, 0.54, 7.214505
0.9555556, 3.526309, -3.488091, 299.2914, 3.526309, 1.36626, -3.488091, 7.531152, 299.2914, 1.647044, -3.64, 0.54, 7.214505
0.9666667, 3.526309, -3.488091, 299.2914, 3.526309, 1.36626, -3.488091, 7.531152, 299.2914, 1.647044, -3.64, 0.54, 7.214505
0.9777778, 3.526309, -3.488091, 299.2914, 3.526309, 1.36626, -3.488091, 7.531152, 299.2914, 1.647044, -3.64, 0.54, 7.214505
0.9888889, 3.526309, -3.488091, 299.2914, 3.526309, 1.36626, -3.488091, 7.531152, 299.2914, 1.647044, -3.64, 0.54, 7.214505
1, 3.526309, -3.488091, 299.2914, 3.526309, 1.36626, -3.488091, 7.531152, 299.2914, 1.647044, -3.64, 0.54, 7.214505
1.011111, 3.526309, -3.488091, 299.2914, 3.526309, 1.36626, -3.488091, 7.531152, 299.2914, 1.647044, -3.64, 0.54, 7.214505
1.022222, 3.526309, -3.488091, 299.2914, 3.526309, 1.36626, -3.488091, 7.531152, 299.2914, 1.647044, -3.64, 0.54, 7.214505
1.033333, 3.526309, -3.488091, 299.2914, 3.526309, 1.36626, -3.488091, 7.531152, 299.2914, 1.647044, -3.64, 0.54, 7.214505
1.044444, 3.526309, -3.488091, 299.2914, 3.526309, 1.36626, -3.488091, 7.531152, 299.2914, 1.647044, -3.64, 0.54, 7.214505
1.055556, 3.526309, -3.488091, 299.2914, 3.526309, 1.36626, -3.488091, 7.531152, 299.2914, 1.647044, -3.64, 0.54, 7.214505
1.066667, 3.526309, -3.488091, 299.2914, 3.526309, 1.36626, -3.488091, 7.531152, 299.2914, 1.647044, -3.64, 0.54, 7.214505
1.077778, 3.526309, -3.488091, 299.2914, 3.526309, 1.36626, -3.488091, 7.531152, 299.2914, 1.647044, -3.64, 0.54, 7.214505
1.088889, 3.526309, -3.488091, 299.2914, 3.526309, 1.36626, -3.488091, 7.531152, 299.2914, 1.647044, -3.64, 0.54, 7.214505
1.1, 3.526309, -3.488091, 299.2914, 3.526309, 1.36626, -3.488091, 7.531152, 299.2914, 1.647044, -3.64, 0.54, 7.214505
1.111111, 3.52642, -3.487874, 299.3631, 3.52642, 1.366099, -3.487874, 7.525871, 299.3631, 1.742988, -3.64, 0.54, 7.2146
1.122222, 3.52642, -3.487874, 299.3631, 3.52642, 1.366099, -3.487874, 7.525871, 299.3631, 1.742988, -3.64, 0.54, 7.2146
