Time,X,Y,Heading,CameraX,CameraY,CameraZ,CameraAngX,CameraAngY,CameraAngZ,GoalX,GoalY,DistanceToGoal
0, 0, 0, 0, 0, 1.22, 0, 0, 0, 0, 3.05, 0.54, 4.632634
0.01111111, 0, 0, 0, 0, 1.22, 0, 0, 0, 0, 3.05, 0.54, 4.632634
0.02222222, -4.272463, -3.14929, 52.91732, -4.272463, 1.588849, -3.14929, 5.281153, 52.91732, 354.3635, 3.05, 0.54, 7.402151
0.03333334, -4.272463, -3.14929, 52.91732, -4.272463, 1.588849, -3.14929, 5.281153, 52.91732, 354.3635, 3.05, 0.54, 7.402151
0.04444445, -4.272463, -3.14929, 52.91732, -4.272463, 1.588849, -3.14929, 5.281153, 52.91732, 354.3635, 3.05, 0.54, 7.402151
0.05555556, -4.272463, -3.14929, 52.91732, -4.272463, 1.588849, -3.14929, 5.281153, 52.91732, 354.3635, 3.05, 0.54, 7.402151
0.06666667, -4.272463, -3.14929, 52.91732, -4.272463, 1.588849, -3.14929, 5.281153, 52.91732, 354.3635, 3.05, 0.54, 7.402151
0.07777778, -4.272463, -3.14929, 52.91732, -4.272463, 1.588849, -3.14929, 5.281153, 52.91732, 354.3635, 3.05, 0.54, 7.402151
0.08888889, -4.272463, -3.14929, 52.91732, -4.272463, 1.588849, -3.14929, 5.281153, 52.91732, 354.3635, 3.05, 0.54, 7.402151
0.1, -4.272463, -3.14929, 52.91732, -4.272463, 1.588849, -3.14929, 5.281153, 52.91732, 354.3635, 3.05, 0.54, 7.402151
0.1111111, -4.272463, -3.14929, 52.91732, -4.272463, 1.588849, -3.14929, 5.281153, 52.91732, 354.3635, 3.05, 0.54, 7.402151
0.1222222, -4.272463, -3.14929, 52.91732, -4.272463, 1.588849, -3.14929, 5.281153, 52.91732, 354.3635, 3.05, 0.54, 7.402151
0.1333333, -4.272463, -3.14929, 52.91732, -4.272463, 1.588849, -3.14929, 5.281153, 52.91732, 354.3635, 3.05, 0.54, 7.402151
